1	対象文	ホームズは以下を推測した	Holmes guessed		
1	情報源				
1	Who	ホームズ	Holmes		
1	hasPredicate	推測した	guess		
1	What	002-005	002-005		
1	then				
2	対象文	パーシィ・トリヴェリアンは医者である。	Percy Trevelyan is a doctor.		
2	情報源				
2	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
2	hasProperty	医者である	doctor		
2	then				
3	対象文	パーシィ・トリヴェリアンは開業してまもない	Percy Trevelyan has just opened		
3	情報源				
3	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
3	hasProperty	開業してまもない	justOpened		
3	then				
4	対象文	パーシィ・トリヴェリアンは儲かっている	Percy Trevelyan is profitable		
4	情報源				
4	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
4	hasProperty	儲かっている	profitable		
4	then				
5	対象文	パーシィ・トリヴェリアンはホームズに相談したい	Percy Trevelyan want to talk to Holmes		
5	情報源				
5	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
5	hasProperty	相談したい	wantToConsult		
5	To	ホームズ	Holmes		
5	then				
6	対象文	ワトソンは以下を推測した	Watson guessed		
6	情報源				
6	Who	ワトソン	Watson		
6	hasPredicate	推測した	guess		
6	What	7	7		
6	then				
7	対象文	パーシィ・トリヴェリアンは33,4歳以下である	Percy Trevelyanis under 33,4-year-old		
7	情報源				
7	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
7	hasProperty	33,4歳以下である	under 33,4 years old		
7	then				
8	対象文	ワトソンは以下を思った	Watson thought		
8	情報源				
8	Who	ワトソン	Watson		
8	hasPredicate	思った	think		
8	What	009-017	009-017		
8	then				
9	対象文	パーシィ・トリヴェリアンの表情はやつれている	Expression of Percy Trevelyan is sloppy		
9	情報源				
9	Who	パーシィ・トリヴェリアンの表情	Expression of Percy Trevelyan		
9	hasProperty	やつれている	sloppy		
9	then				
10	対象文	パーシィ・トリヴェリアンの顔色は悪い	Percy Trevelyan looks pale		
10	情報源				
10	Who	パーシィ・トリヴェリアンの顔色	Percy Trevelyan		
10	hasProperty	悪い	pale		
10	then				
11	対象文	パーシィ・トリヴェリアンは力を搾り取られた	Percy Trevelyan was squeezed forces		
11	情報源				
11	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
11	hasPredicate	搾り取られた	beSqueezed		
11	What	力	Power		
11	then				
12	対象文	パーシィ・トリヴェリアンは若さを奪われた	Percy Trevelyan was robbed of youth		
12	情報源				
12	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
12	hasPredicate	奪われた	beRobbed		
12	What	若さ	Youth		
12	then				
13	対象文	パーシィ・トリヴェリアンは神経質である	Percy Trevelyan is nervous		
13	情報源				
13	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
13	hasProperty	神経質である	nervous		
13	then				
14	対象文	パーシィ・トリヴェリアンは居場所がない様子である	Percy Trevelyan seems to have nowhere to go		
14	情報源				
14	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
14	hasProperty	居場所がない様子である	haveNowhereToGo		
14	then				
15	対象文	パーシィ・トリヴェリアンの手は白い	Hand of Percy Trevelyan is white		
15	情報源				
15	Who	パーシィ・トリヴェリアンの手	Hand of Percy Trevelyan		
15	hasProperty	白い	white		
15	then				
16	対象文	パーシィ・トリヴェリアンは医者のようでは無い	Percy Trevelyan does not seem to a doctor		
16	情報源				
16	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
16	hasProperty	医者のようでは無い	notSeemToDoctor		
16	why	15	15		
16	then				
17	対象文	パーシィ・トリヴェリアンは芸術家に見える	Percy Trevelyan seems to an artist		
17	情報源				
17	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
17	hasProperty	芸術家に見える	seemToArtist		
17	Why	15	15		
17	then				
18	対象文	パーシィ・トリヴェリアンの服装は地味である	Dress of Percy Trevelyan is a sober		
18	情報源				
18	Who	パーシィ・トリヴェリアンの服装	Dress of Percy Trevelyan		
18	hasProperty	地味である	sober		
18	then				
19	対象文	パーシィ・トリヴェリアンは黒いフロック・コートを着ている	Percy Trevelyan wears a black frock-coat		
19	情報源				
19	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
19	hasProperty	着ている	wearing		
19	What	黒いフロック・コート	Black frock coat		
19	then				
20	対象文	パーシィ・トリヴェリアンは黒めのズボンを履いている	Percy Trevelyan is wearing the trousers of Me black		
20	情報源				
20	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
20	hasProperty	履いている	wearing		
20	What	黒めのズボン	black trousers		
20	then				
21	対象文	パーシィ・トリヴェリアンはわずかに色のあるネクタイを着けている	Percy Trevelyan is wearing a tie slightly with color		
21	情報源				
21	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
21	hasProperty	着けている	wearing		
21	What	わずかに色のあるネクタイ	tieSlightlyWithColor		
21	then				
22	対象文	パーシィ・トリヴェリアンはホームズとワトソンに名前を告げた	Percy Trevelyan told the name to Holmes and Watson		
22	情報源				
22	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
22	hasPredicate	告げた	tell		
22	What	名前	name		
22	To	ホームズ	Holmes		
22	To	ワトソン	Watson		
22	then				
23	対象文	パーシィ・トリヴェリアンはブルックリン街四〇三番地に住んでいる	Percy Trevelyan lives in Brooklyn, the city four hundred and three address		
23	情報源				
23	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
23	hasPredicate	住んでいる	live		
23	Where	ブルックリン街四〇三番地	"403 Brooklyn Street"		
23	then				
24	対象文	ワトソンは以下を確認した	Watson confirmed the following:		
24	情報源				
24	Who	ワトソン	Watson		
24	hasPredicate	確認した	confirm		
24	What	25	25		
24	then				
25	対象文	パーシィ・トリヴェリアンは神経障害についての論文を書いた	Percy Trevelyan wrote a paper about the neurological disorder		
25	情報源				
25	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
25	hasPredicate	書いた	write		
25	What	神経障害についての論文	paper about neurological disorders		
25	then				
26	対象文	パーシィ・トリヴェリアンは神経疾患を研究している	Percy Trevelyan have studied the neurological disorder		
26	情報源				
26	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
26	hasPredicate	研究している	study		
26	To	神経疾患	Neurological disorder		
26	then				
27	対象文	パーシィ・トリヴェリアンは以下をホームズに言った	Percy Trevelyan told Holmes the following		
27	情報源				
27	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
27	hasPredicate	言った	say		
27	To	ホームズ	Holmes		
27	What	028-029	028-029		
27	then				
28	対象文	妙な事件がパーシィ・トリヴェリアンの自宅で立て続けに起こった	"Strange incident occurred in quick succession in the home of Percy Trevelyan"		
28	情報源				
28	Who	妙な事件	StrangeIncident		
28	hasProperty	起こった	occur		
28	Where	パーシィ・トリヴェリアンの自宅	"Home of Percy Trevelyan"		
28	How	立て続けに	In quick succession		
28	then				
29	対象文	パーシィ・トリヴェリアンは事件のことを相談に来た	Percy Trevelyan came to the consultation that the incident		
29	情報源				
29	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
29	hasPredicate	相談に来た	comeToConsult		
29	What	事件の事	incident		
29	then				
30	対象文	パーシィ・トリヴェリアンは以下を言った	Percy Trevelyan said the following:		
30	情報源				
30	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
30	hasPredicate	言った	say		
30	On	031-157	031-157		
30	then				
31	対象文	パーシィ・トリヴェリアンの硬化症の研究は注目されていた	A study of sclerosis of Percy Trevelyan had been noted		
31	情報源				
31	Who	パーシィ・トリヴェリアンの硬化症の研究	A study of sclerosis of Percy Trevelyan		
31	hasPredicate	注目されていた	beNoted		
31	then				
32	対象文	パーシィ・トリヴェリアンはブルース・ピンカトン賞を受賞した	Percy Trevelyan was awarded the Bruce Pinkerton Award		
32	情報源				
32	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
32	hasPredicate	受賞した	beAwarded		
32	What	ブルース・ピンカトン賞	Bruce Pinkerton Award		
32	then				
33	対象文	志ある専門医はキャヴェンディッシュ・スクエア付近の十二の街に開業しなければならない	Aspiring specialists must open in twelve cities near Cavendish Square		
33	情報源				
33	Who	志ある専門医	Aspiring specialists		
33	hasProperty	開業しなければならない	mustOpen		
33	Where	キャヴェンディッシュ・スクエア付近の十二の街	Twelve city near Cavendish Square		
33	then				
34	対象文	パーシィ・トリヴェリアンは某台な賃料と調度のための支出を払わなければならない	Percy Trevelyan must pay the expenditure for certain stand rent and furnishings		
34	情報源				
34	Who	パーシィ・トリヴェリアン	Percy Trevelyan		
34	hasPredicate	払わなければならない	mustPay		
34	What	某大な賃料	Certain large rent		
34	What	調度のための支出	Expenditure for furnishings		
34	then				
