												
1	対象文	1897年の冬、私は起こされた	"Winter of 1897, I was awakened"									
1	情報源	ワトソンの言葉	Watson's words									
1	Who	ワトソン	Watson									
1	hasPredicate	起こされた	beAwaken									
1	When	1987年の冬	Winter of 1987									
1	then											
2	対象文	ホームズはポケットから手紙を引っ張り出した	Holmes pulled a letter from his pocket									
2	情報源											
2	Who	ホームズ	Holmes									
2	hasPredicate	引っ張り出した	take									
2	What	手紙	letter									
2	Where	ポケット	pocket									
2	then											
3	対象文	ホームズは手紙を音読した	Holmes was reading aloud a letter									
3	情報源											
3	Who	ホームズ	Holmes									
3	hasPredicate	音読した	read aloud	how:aloud?								
3	What	手紙	letter									
3	then											
4	対象文	きわめて驚くべき事件になりそうです	It is going to be a very surprising incident									
4	情報源	スタンリィ・ホプキンスの発言	Remarks Stanley Hopkins									
4	Who	きわめて驚くべき事件に	A very surprising incident	x								
4	hasPredicate	なりそう	become									
4	Where	ケント州、マーシャム、大修道院跡、アビ屋敷	"Kent, Marsham, abbey ruins, Abbey Grange"									
4	When	15:30	15:30									
4	then											
5	対象文	スタンリィ・ホプキンスがホームズに助力を頼む	Stanley Hopkins asks for help to Holmes									
5	情報源	スタンリィ・ホプキンスの発言	Remarks Stanley Hopkins									
5	Who	助力いただけると	And enjoy helping	x								
5	hasPredicate	ありがたいのですが	Thankfully I but	x								
5	Where											
5	When											
5	then											
6	対象文	奥方を解放したほかは、すべて私が発見したままに保たれている	"In addition to releasing the lady they are, are all kept to leave I discovered"									
6	情報源	スタンリィ・ホプキンスの発言	Remarks Stanley Hopkins									
6	Who	現場	Scene	x								
6	hasProperty	保たれている	remain									
6	How	発見したままに	Remains found									
6	then											
7	対象文	サー・ユースタス・ブラックンストールをそのまま置いておけない	Not put in place as it is the Sir Eustace Brackenstall									
7	情報源	スタンリィ・ホプキンスの発言	Remarks Stanley Hopkins									
7	Who	スタンリィ・ホプキンス	Stanley Hopkins									
7	hasPredicate	置いていけない	cannotPut	〇								
7	What	サー・ユースタス・ブラックンストール	Sir Eustace Brackenstall									
7	then											
8	対象文	ホームズは言った	Holmes said									
8	情報源	ホームズの発言	Holmes remark									
8	Who	ホームズ	Holmes									
8	hasPredicate	言った	say									
8	What	9	9									
8	then											
9	対象文	今日の研究は殺人事件らしいね	I guess murder of research today									
9	情報源	ホームズの発言	Holmes remark									
9	Who	ホームズ	Holmes									
9	hasPredicate	言った	say									
9	What											
9	then											
10	対象文	このサー・ユースタス・ブラックンストールが死んだと考えるんだね？	I'm think this Sir Eustace Brackenstall the dead?									
10	情報源	ワトソンの発言	Remarks Watson									
10	Who	サー・ユースタス・ブラックンストール	Sir Eustace Brackenstall									
10	hasProperty	死んだ	dead									
10	Where											
10	then											
11	対象文	ユースタスが自殺である	Eustace is a suicide									
11	情報源	ホームズの考え	Holmes thought									
11	Who	サー・ユースタス・ブラックンストール	Sir Eustace Brackenstall									
11	hasPredicate	自殺である	suicide									
11	What											
11	then											
12	対象文	単なる自殺ではスタンリィ・ホプキンスがホームズに使いを出すことはない	Never put out the use Stanley Hopkins is to Holmes a mere suicide									
12	情報源	ホームズの考え	Holmes thought									
12	Who	スタンリィ・ホプキンス	Stanley Hopkins									
12	hasPredicate	使いを出さない	Not issue a use	〇								
12	What	ホームズ	Holmes									
12	if	11	11									
13	対象文	奥方は惨事の間部屋に監禁されていた	Lady had been imprisoned during the disaster room									
13	情報源	ホームズの考え	Holmes thought									
13	Who	奥方	Lady									
13	hasProperty	監禁されていた	beImprisoned									
13	When	惨事の間	Between the disaster									
13	When	昨日の午後12時前	12 hours ago yesterday afternoon									
13	then											
14	対象文	スタンリィ・ホプキンスは地元の警察を呼ぶ必要がある	"Stanley Hopkins, it is necessary to call the local police"									
14	情報源	ホームズの考え	Holmes thought									
14	Who	スタンリィ・ホプキンス	Stanley Hopkins									
14	hasProperty	呼ぶ	call									
14	what	地元の警察	The local police									
14	then											
